id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10080,D1 -  Million Dollar View 2 BR,30899,Rami,,Downtown,49.28872,-123.12046,Entire home/apt,150,90,16,2017-02-26,0.14,40,346
13358,Monthly (or Longer ) Designer One Bedroom Downtown,52116,Lynn,,West End,49.28201,-123.12669,Entire home/apt,85,30,430,2021-01-01,3.27,1,98
13490,Vancouver's best kept secret,52467,Iris,,Kensington-Cedar Cottage,49.25622,-123.06607,Entire home/apt,145,30,88,2020-10-31,0.73,1,203
14267,EcoLoft Vancouver,56030,Peter & Alison,,Kensington-Cedar Cottage,49.24922,-123.08139,Entire home/apt,140,3,33,2020-02-07,0.26,1,123
16254,Close to PNE/Hastings Park and East Village,63238,Jason,,Hastings-Sunrise,49.27721,-123.04086,Entire home/apt,195,3,5,2019-08-19,0.15,1,289
16611,"1 block to skytrain station, shops,restaurant,bank",58512,Q,,Grandview-Woodland,49.26339,-123.07145,Entire home/apt,100,30,3,2018-02-16,0.07,5,89
17158,Vancouver 4br 3ba house 20min to DT,48673,Elaine,,Renfrew-Collingwood,49.25277,-123.03774,Entire home/apt,130,4,5,2018-03-31,0.04,1,0
17765,"Central location, nice little apartment",68672,James,,Mount Pleasant,49.26132,-123.10845,Entire home/apt,94,3,194,2019-12-30,1.87,1,0
18270,private rm in clean central 2BR apt,70437,Ran,,Mount Pleasant,49.26557,-123.096,Private room,51,30,118,2019-12-31,0.96,1,194
18589,Commercial Drive B&B,71508,Sylvain & Alexis,,Grandview-Woodland,49.27569,-123.07057,Private room,79,1,390,2020-11-09,3.25,1,1
18773,"Comfort Suite on Kits Beach + Netflix, and Youtube",72055,Dean,,Kitsilano,49.2733,-123.16457,Entire home/apt,439,2,14,2019-09-22,0.10,1,1
18795,*Best choice in downtown-5 Stars * -2,70137,Kai,,West End,49.28299,-123.13008,Private room,50,30,121,2020-03-16,1.00,3,365
19527,Spacious Apartment near Granville Island and VGH,74129,Bevin,,Fairview,49.26018,-123.13477,Entire home/apt,128,30,37,2020-10-05,0.27,1,336
20085,Bright & Cheerful Uptown Garden Suite,75986,Tony And Rachel,,Kensington-Cedar Cottage,49.25636,-123.08636,Entire home/apt,69,30,74,2021-03-06,0.55,1,254
21912,PRIVATE ROOM + BATH + KING BED + SEPARATE ENTRY,83871,Adam,,Renfrew-Collingwood,49.23361,-123.05283,Private room,43,2,331,2021-03-12,2.78,3,319
21913,PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),83871,Adam,,Renfrew-Collingwood,49.23442,-123.05307,Entire home/apt,90,28,214,2020-11-18,1.87,3,260
22128,"Big+Sunny 1-BR-SUITE**15 min to UBC, 10 Kits Beach",84820,Chris,,Marpole,49.21264,-123.13258,Private room,150,30,24,2011-08-18,0.18,2,365
24273,Walker's paradise in Kitsilano,1267409,Cormac,,Kitsilano,49.26216,-123.1715,Entire home/apt,200,30,16,2021-03-01,0.17,2,1
26047,The Alpha Downtown Accommodation by COMFYSUITES,109845,Alicia,,Downtown,49.28086,-123.12375,Entire home/apt,159,30,35,2021-02-15,0.29,4,262
32746,Designer Urban Park View Townhouse,52118,Liliana,,Downtown,49.2792,-123.105,Entire home/apt,100,30,80,2019-01-06,0.61,2,292
33150,“Suite on Main”  near  Q.E Park,143724,Ili,,Riley Park,49.24677,-123.1048,Entire home/apt,110,4,52,2021-02-28,0.43,1,272
35102,Downtown Yaletown Trendy 2 Bd/2Bth,2283739,Karina,,Downtown,49.27743,-123.11869,Entire home/apt,132,30,76,2018-08-26,0.59,1,1
35304,"LOCATION, LOCATION, LOCATION- Cozy&Clean Lg. Space",151996,Howie And Lisa,,Grandview-Woodland,49.2729,-123.06973,Private room,75,2,419,2021-03-21,3.23,1,352
42645,The Charlie by COMFYSUITES,109845,Alicia,,Downtown,49.28036,-123.1234,Entire home/apt,159,30,29,2021-03-20,0.22,4,256
48146,Executive Furnished Apartment (2 months minimum),219431,Damien,,Renfrew-Collingwood,49.23653,-123.02664,Entire home/apt,100,60,0,,,2,224
49736,Boutique Studio Apartment in Kits!,227101,Sarah,,Kitsilano,49.26778,-123.14674,Entire home/apt,1950,31,9,2016-08-22,0.07,1,0
54261,Yaletown 1 Bedroom Condo,254337,Edgar,,Downtown,49.27462,-123.12426,Entire home/apt,89,90,37,2019-07-09,0.31,2,365
70453,"Open-concept, Modern Heritage Home with over 20 Skylights",56709,Samantha Jo,,Downtown Eastside,49.27836,-123.08716,Entire home/apt,200,3,22,2020-03-10,0.31,1,0
72659,Central Convenient Vibrant Neighbourhood!,375168,Donna,,Grandview-Woodland,49.27345,-123.07031,Entire home/apt,210,7,12,2018-05-23,0.12,1,102
73841,Amazing Downtown Vancouver Condo!,386761,Ying Ying,,Downtown,49.27591,-123.12359,Entire home/apt,121,30,14,2021-01-30,0.12,1,33
77157,Room with a Garden View!,412802,Anne,,Arbutus Ridge,49.2452,-123.16544,Entire home/apt,100,2,641,2021-03-06,5.22,2,310
98242,"Studio, private patio, WIFI/Cbl, pets & long term!",31065,Mj,,Sunset,49.22395,-123.07904,Entire home/apt,150,30,474,2020-12-30,3.93,2,5
98830,Your Downtown Executive Suite,520997,Cristina,,Downtown,49.27936,-123.12443,Entire home/apt,110,30,267,2020-02-01,2.21,1,0
111077,"Clean and Comfy, 2 Bd, Walk to the Drive",569682,Kristina,,Grandview-Woodland,49.26758,-123.06016,Entire home/apt,125,3,103,2019-10-27,0.86,1,365
125176,Main Street Vineyard,622926,Mark,,Riley Park,49.24615,-123.09462,Private room,85,2,496,2021-02-28,4.20,1,312
129163,"Rock Rose - Clean, Cozy, Comfy, Steps2-Skytrain.",597619,Rozsa,,Renfrew-Collingwood,49.24401,-123.04772,Private room,45,30,53,2020-03-18,0.49,1,0
134688,"West view, Transit convenient, clean & comfortable",653436,Pirike,,Renfrew-Collingwood,49.24356,-123.04757,Private room,40,30,41,2020-12-29,0.35,5,243
140698,"1905 Heritage Loft, Main/Broadway, Olympic Village",69640,Stephen,,Mount Pleasant,49.26382,-123.10484,Entire home/apt,95,6,115,2020-10-07,0.97,1,291
170137,Family friendly Point Grey Home,381497,Catherine,,Dunbar Southlands,49.25757,-123.18966,Entire home/apt,150,4,153,2020-09-13,1.31,1,227
